dantri.com.vn,14.225.2.12,Monday,10:00,Friday,23:59
www.youtube.com,142.250.71.206,Tuesday,12:00,Wednesday,08:20
www.youtube.com,142.250.199.78,Tuesday,12:00,Wednesday,08:20
www.youtube.com,142.250.197.174,Tuesday,12:00,Wednesday,08:20
www.youtube.com,142.250.66.46,Tuesday,12:00,Wednesday,08:20
www.youtube.com,142.250.71.206,Wednesday,08:22,Wednesday,15:45
www.youtube.com,142.250.199.78,Wednesday,08:22,Wednesday,15:45
www.youtube.com,142.250.197.174,Wednesday,08:22,Wednesday,15:45
www.youtube.com,142.250.66.46,Wednesday,08:22,Wednesday,15:45
www.youtube.com,142.250.71.206,Wednesday,15:42,Thursday,13:52
www.youtube.com,142.250.199.78,Wednesday,15:42,Thursday,13:52
www.youtube.com,142.250.197.174,Wednesday,15:42,Thursday,13:52
www.youtube.com,142.250.66.46,Wednesday,15:42,Thursday,13:52
www.youtube.com,142.250.71.206,Thursday,13:54,Thursday,13:55
www.youtube.com,142.250.199.78,Thursday,13:54,Thursday,13:55
www.youtube.com,142.250.197.174,Thursday,13:54,Thursday,13:55
www.youtube.com,142.250.66.46,Thursday,13:54,Thursday,13:55
